Domain,Certificate Score,Protocol Score,Key Score,Cipher Score,Overall Grade
123host.vn,100,90,100,70,A,
doanhnghiepvn.vn,100,70,100,70,B,
danhgiatot.vn,100,80,100,100,A+,
dntu.edu.vn,100,80,100,100,A+,
vib.com.vn,100,70,100,70,B,
ninhbinh.gov.vn,100,70,100,0,E,
hcmute.edu.vn,100,70,100,0,E,
gotop.vn,100,100,100,100,A+,
hcom.vn,100,90,100,70,A,
fptplay.vn,100,70,100,70,B,
tintuconline.com.vn,100,70,100,70,B,
congmuaban.vn,100,100,100,100,A+,
dulichvietnam.com.vn,100,90,100,70,A,
zda.vn,100,100,100,100,A+,
utc.edu.vn,100,70,100,0,E,
luatminhkhue.vn,100,80,100,100,A+,
toplist.vn,100,70,100,70,B,
tructiep.vn,100,70,100,70,B,
simdaiphat.vn,100,80,100,100,A+,
phunuvietnam.vn,100,100,100,100,A+,
unica.vn,100,70,100,70,B,
2banh.vn,100,90,100,70,A,
baohatinh.vn,100,70,100,70,B,
dangkykinhdoanh.gov.vn,100,70,100,30,D,
muare.vn,100,90,100,70,A,
tbmc.edu.vn,100,80,100,100,A+,
cdts.com.vn,100,90,100,70,A,
wiki.edu.vn,100,80,100,100,A+,
jes.edu.vn,100,90,100,0,E,
tinthethao.com.vn,100,70,100,70,B,
winds.vn,100,100,100,100,A+,
travel.com.vn,100,80,100,100,A+,
vnuhcm.edu.vn,100,70,100,30,D,
qasco.vn,100,90,100,0,E,
baoquangninh.com.vn,100,90,100,70,A,
thegioimanhinh.vn,100,90,100,70,A,
duytan.edu.vn,100,70,100,30,D,
idulich.vn,100,100,100,100,A+,
nchmf.gov.vn,100,70,100,0,E,
eclick.vn,100,70,100,70,B,
thephoangviet.vn,100,100,100,100,A+,
el.edu.vn,100,70,100,70,B,
doisongvietnam.vn,100,90,100,70,A,
careerlink.vn,100,70,100,70,B,
huflit.edu.vn,100,100,100,100,A+,
trongtanvn.vn,100,100,100,100,A+,
thoidai.com.vn,100,70,100,70,B,
haiduongdost.gov.vn,100,70,100,0,E,
tdtu.edu.vn,100,70,100,70,B,
upacademy.edu.vn,100,100,100,100,A+,
utb.edu.vn,100,100,100,100,A+,
tgdd.vn,100,70,100,70,B,
vntrip.vn,100,100,100,100,A+,
hutech.edu.vn,100,70,100,70,B,
neu.vn,100,100,100,100,A+,
769audio.vn,100,100,100,100,A+,
sgu.edu.vn,100,70,100,70,B,
anphatpc.com.vn,100,70,100,70,B,
kenhtuyensinh.vn,100,80,100,100,A+,
emdep.vn,100,100,100,100,A+,
viettelstore.vn,100,70,100,70,B,
didinhcu.vn,100,100,100,100,A+,
baothanhhoa.vn,100,70,100,70,B,
baria-vungtau.gov.vn,100,70,100,70,B,
bkav.com.vn,100,70,100,70,B,
autodaily.vn,100,90,100,0,E,
top10saigon.vn,100,100,100,100,A+,
quochoi.vn,100,90,100,0,E,
vietgsm.vn,100,100,100,100,A+,
proone.vn,100,100,100,100,A+,
epu.edu.vn,100,70,100,70,B,
bvphusanct.com.vn,100,70,100,70,B,
hcmiu.edu.vn,100,90,100,70,A,
miosys.vn,100,70,100,70,B,
tapchicongthuong.vn,100,100,100,100,A+,
vtvgo.vn,100,100,100,100,A+,
vieclam24h.vn,100,80,100,100,A+,
khanhhoa.gov.vn,100,70,100,0,E,
go.vn,100,100,100,100,A+,
mediamart.vn,100,70,100,70,B,
htu.edu.vn,100,80,100,100,A+,
homify.vn,100,70,100,70,B,
guu.vn,100,90,100,70,A,
cuahangmypham.vn,100,100,100,100,A+,
daklak.gov.vn,100,90,100,100,A+,
dep.com.vn,100,70,100,0,E,
maylanhnhapkhau.com.vn,100,90,100,70,A,
thcssonthuy.edu.vn,100,100,100,100,A+,
oto.com.vn,100,70,100,70,B,
hcmus.edu.vn,100,90,100,70,A,
evi-shop.vn,100,80,100,100,A+,
chiaki.vn,100,100,100,100,A+,
daknong.gov.vn,100,70,100,0,E,
dembuon.vn,100,80,100,100,A+,
sunworld.vn,100,70,100,70,B,
daithachthat.gov.vn,100,100,100,100,A+,
medlatec.vn,100,70,100,70,B,
topdev.vn,100,100,100,100,A+,
hcmussh.edu.vn,100,90,100,70,A,
novaco.vn,100,100,100,100,A+,
vuottroi.vn,100,80,100,100,A+,
inde.com.vn,100,100,100,100,A+,
bago.com.vn,100,100,100,100,A+,
aland.edu.vn,100,100,100,100,A+,
phapluatxahoi.vn,100,80,100,100,A+,
moc.gov.vn,100,70,100,0,E,
wikihow.vn,100,100,100,100,A+,
lucasnguyen.vn,100,80,100,100,A+,
nqtm.vn,100,100,100,100,A+,
luxidecor.vn,100,70,100,0,E,
