Domain,Certificate Score,Protocol Score,Key Score,Cipher Score,Overall Grade
asti.com.sg,100,100,100,100,A+,
garmin.com.sg,100,100,100,100,A+,
herabeauty.sg,100,100,100,100,A+,
greenplan.gov.sg,100,100,100,100,A+,
locanto.sg,100,100,100,100,A+,
poems.com.sg,100,100,100,100,A+,
webstergy.com.sg,100,100,100,100,A+,
sais.edu.sg,100,100,100,100,A+,
intel.sg,100,100,100,100,A+,
birdpark.com.sg,100,70,100,0,E,
sal.org.sg,100,100,100,100,A+,
nccs.gov.sg,100,100,100,100,A+,
royalsuites.com.sg,100,100,100,100,A+,
bestwatch.sg,100,100,100,100,A+,
smartnation.sg,100,100,100,100,A+,
earthobservatory.sg,100,90,100,70,A,
atome.sg,100,100,100,100,A+,
foodline.sg,100,80,100,100,A+,
breakfixnow.com.sg,100,80,100,100,A+,
99designs.com.sg,100,90,100,70,A,
elle.com.sg,100,80,100,100,A+,
randstad.com.sg,100,100,100,100,A+,
squarefoot.com.sg,100,80,100,100,A+,
onemap.gov.sg,100,100,100,100,A+,
sgdi.gov.sg,100,90,100,0,E,
speedpost.com.sg,100,100,100,100,A+,
nets.com.sg,100,100,100,100,A+,
shell.com.sg,100,90,100,70,A,
mrproperty.sg,100,100,100,100,A+,
carbuyer.com.sg,100,80,100,100,A+,
shopify.com.sg,100,100,100,100,A+,
ssg.gov.sg,100,90,100,70,A,
tiongaikattc.com.sg,100,70,100,30,D,
mindset.com.sg,100,90,100,70,A,
oeconsulting.com.sg,100,100,100,100,A+,
jobsite.com.sg,100,80,100,100,A+,
carro.sg,100,100,100,100,A+,
popular.com.sg,100,90,100,70,A,
turfclub.com.sg,100,90,100,70,A,
aipec.com.sg,100,100,100,100,A+,
aic.sg,100,90,100,70,A,
fnp.sg,100,90,100,70,A,
houzz.com.sg,100,100,100,100,A+,
sgpc.gov.sg,100,90,100,0,E,
sif.org.sg,100,80,100,100,A+,
lawsociety.org.sg,100,100,100,100,A+,
visa.com.sg,100,90,100,100,A+,
lsbf.edu.sg,100,100,100,100,A+,
3m.com.sg,100,90,100,0,E,
familiesforlife.sg,100,90,100,70,A,
oom.com.sg,100,100,100,100,A+,
michaelpage.com.sg,100,90,100,70,A,
lingkl.com.sg,100,100,100,100,A+,
tigerbrokers.com.sg,100,90,100,70,A,
cis.edu.sg,100,90,100,0,E,
morebetter.sg,100,80,100,100,A+,
siww.com.sg,100,90,100,70,A,
propertysales.sg,100,100,100,100,A+,
comfortsupplier.com.sg,100,80,100,100,A+,
funeralservicessingapore.com.sg,100,80,100,100,A+,
hlas.com.sg,100,80,100,100,A+,
atlasbar.sg,100,90,100,70,A,
kindness.sg,100,100,100,100,A+,
moneyfm893.sg,100,90,100,70,A,
canon.com.sg,100,90,100,30,C,
csc.gov.sg,100,90,100,70,A,
loancfi.com.sg,100,100,100,100,A+,
rtspl.com.sg,100,100,100,100,A+,
reach.gov.sg,100,90,100,0,E,
netmaid.com.sg,100,90,100,70,A,
thesingaporetouristpass.com.sg,100,100,100,100,A+,
choicefurniture.com.sg,100,100,100,100,A+,
liv-atmb.com.sg,100,100,100,100,A+,
exabytes.sg,100,100,100,100,A+,
onepearlbankcondo.com.sg,100,100,100,100,A+,
isa.edu.sg,100,80,100,100,A+,
littleflowerhut.com.sg,100,100,100,100,A+,
wall.sg,100,90,100,70,A,
redcross.sg,100,90,100,70,A,
wsg.gov.sg,100,90,100,70,A,
wwf.sg,100,100,100,100,A+,
stemacademy.sg,100,100,100,100,A+,
nuhs.edu.sg,100,90,100,70,A,
fifthavenue.com.sg,100,100,100,100,A+,
fragrancegroup-urbantreasures.sg,100,100,100,100,A+,
n51.com.sg,100,100,100,100,A+,
foundit.sg,100,70,100,70,B,
renonation.sg,100,70,100,70,B,
homy.sg,100,80,100,100,A+,
theblossomsbythepark.com.sg,100,100,100,100,A+,
payroll.com.sg,100,100,100,100,A+,
ktph.com.sg,100,90,100,70,A,
salary.sg,100,100,100,100,A+,
dlink.com.sg,100,80,100,100,A+,
dominos.com.sg,100,70,100,70,B,
shaw.sg,100,90,100,70,A,
exporters.sg,100,70,100,0,E,
parkwayeast.com.sg,100,90,100,70,A,
gowhere.gov.sg,100,70,100,70,B,
adidas.com.sg,100,90,100,0,E,
digitrio.com.sg,100,100,100,100,A+,
femalemag.com.sg,100,90,100,70,A,
assignmenthelp.com.sg,100,100,100,100,A+,
gothere.sg,100,70,100,70,B,
sunteccity.com.sg,100,70,100,70,B,
about.sg,100,100,100,100,A+,
pips.com.sg,100,100,100,100,A+,
tuugo.sg,100,90,100,30,C,
curtin.edu.sg,100,100,100,100,A+,
apol.sg,100,100,100,100,A+,
bestdenki.com.sg,100,100,100,100,A+,
robbreport.com.sg,100,80,100,100,A+,
fareast.com.sg,100,100,100,100,A+,
